Citation,Country,URL,Site,Number of men,Number of women,Total farmers,GPS_N,GPS_E,GPS find method2,Row,Number,System,Adjusted system
"Deresse, A., Assefa, T., Wondatir, Z., Seifu, T., Negassa, J., Adie, A. and Tolera, A. 2014. Assessment of livestock production system and feed resources availability at Melka watershed, Jeldu district, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/56928,"Melka watershed, Jeldu district - Bore’a village",9,6,15,9.26525,38.08178,in report,73,41,  MRT,  MRT
"Wondatir, Z., Adie, A. and Duncan, A.J. 2015. Assessment of livestock production and feed resources at Kerekicho, Angacha district, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/56990,"Kerekicho, Angacha district - Mehal Kerekicho sub-village ", ,,15,7.36306,38.85,in report,74,42,  MRT,  MRT
"Wondatir, Z., Adie, A. and Duncan, A.J. 2015. Assessment of livestock production and feed resources at Kerekicho, Angacha district, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/56990,"Kerekicho, Angacha district - Gutoso sub-village ", ,,15,7.36306,38.85,in report,75,42,  MRT,  MRT
"Wondatir, Z., Adie, A. and Duncan, A.J. 2015. Assessment of livestock production and feed resources at Kerekicho, Angacha district, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/56990,"Kerekicho, Angacha district - Abiy sub-village ", ,,15,7.36306,38.85,in report,76,42,  MRT,  MRT
"Abate, D., Tassew, B., Zeleke, A., Kedu, A. and Wamatu, J. 2014. Characterization of the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in Alloshe, Goba District, Bale Highlands, Ethiopia. Nairobi, Kenya: International Livestock Research Institute.",Ethiopia,https://cgspace.cgiar.org/handle/10568/51618,"Alloshe, Goba District, Bale Highlands",12,4,16,7.00617,40.02392,in report,77,43,  MRT,  MRT
"Wafula, S., Kirui, J. and Lukuyu, B. 2015. Characterization of the livestock production systems and the potential of feed-based interventions for improving livestock productivity in Ol’lessos Division of Nandi County (Kenya). Nairobi: EADD Project.",Kenya,https://cgspace.cgiar.org/handle/10568/68813,Ol’lessos Division of Nandi County,25,17,42,0.17855,35.30906667,in report,78,44,  MRT,  MRT
"Wafula, S., Kirui, J. and Lukuyu, B. 2015. Characterization of the livestock production systems and the potential of feed-based interventions for improving livestock productivity in Kosirai Division of Nandi County (Kenya). Nairobi: EADD Project.",Kenya,https://cgspace.cgiar.org/handle/10568/68814,Kosirai Division of Nandi County (Kenya),29,19,48,0.32255,35.16983333,in report,79,45,  MRT,  MRT
"Wafula, S., Kirui, J. and Lukuyu, B. 2015. Characterization of the livestock production systems and the potential of feed-based interventions for improving livestock productivity in Longisa Division, Bomet County (Kenya). Nairobi: EADD Project.",Kenya,https://cgspace.cgiar.org/handle/10568/68811,"Longisa Division, Bomet County (Kenya)",25,13,38,-0.756767,35.1036,in report,80,46,  MRT,  MRT
"Wafula, S., Kirui, J. and Lukuyu, B.A. 2015. Characterization of the livestock production systems and the potential of feed-based interventions for improving livestock productivity in Cheborgei, Roret and Buret Division in Kericho County (Kenya). Nairobi: EADD Project.",Kenya,https://cgspace.cgiar.org/handle/10568/68821,"Cheborgei, Roret and Buret Division in Kericho County (Kenya)",25,15,40,-0.545617,35.1036,in report,81,47,  MRT,  MRT
"Wafula, S., Kirui, J. and Lukuyu, B. 2015. Characterization of livestock production systems and the potential of feed-based interventions for improving livestock productivity in Konoin Division Bomet County (Kenya). Nairobi: EADD Project.",Kenya,https://cgspace.cgiar.org/handle/10568/68815,Konoin Division Bomet County (Kenya),23,18,41,-0.6074842,35.2538659,eyeballed from map in report,82,48,     ,     
"Wafula, S., Kirui, J. and Lukuyu, B. 2015. Characterization of the livestock production systems and the potential of feed-based interventions for improving livestock productivity in Ainabkoi and Kesses Divisions of Uasin Gishu (Kenya). Nairobi: EADD Project.",Kenya,https://cgspace.cgiar.org/handle/10568/68810,Ainabkoi and Kesses Divisions of Uasin Gishu (Kenya),23,17,40,0.1894227,35.5286084,in report,83,49,     ,MRH
"Wafula, S., Kirui, J. and Lukuyu, B. 2015. Characterization of livestock production systems and the potential of feed-based interventions for improving livestock productivity in Soy Division, Uasin Gishu County (Kenya). Nairobi: EADD Project.",Kenya,https://cgspace.cgiar.org/handle/10568/68812,"Soy Division, Uasin Gishu County (Kenya)",33,18,51,0.5658,35.314,in report but unintelligible - eyeballed district on googl maps,84,50,  MIT,  MIT
"Wafula, S., Kirui, J. and Lukuyu, B. 2015. Characterization of the livestock production systems and the potential of feed-based interventions for improving livestock productivity in Kaptumo Division, Nandi South (Kenya). Nairobi: EADD Project.",Kenya,https://cgspace.cgiar.org/handle/10568/68816,"Kaptumo Division, Nandi South (Kenya)",33,17,50,0.0759955,35.0504761,in report,85,51,     ,MRH
"Abate, D., Tassew, B., Zeleke, A., Kedu, A. and Wamatu, J. 2014. Characterization of the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in Nake, Gasera District, Bale Highlands, Ethiopia. Nairobi, Kenya: International Livestock Research Institute.",Ethiopia,https://cgspace.cgiar.org/handle/10568/51607,"Nake, Gasera District, Bale Highlands",14,4,18,7.01667,40.38333,in report,86,52,  MRT,  MRT
"Tessema, F., Mulugeta, M., Mekonnen, A., Mengistu, S., Woldi, S., Abiso, T. and Wamatu, J. 2014. Characterization of the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in Upper Gana, Lemo Hadiya District, Ethiopia. Nairobi, Kenya: International Livestock Research Institute.",Ethiopia,https://cgspace.cgiar.org/handle/10568/51602,"Upper Gana, Lemo Hadiya District,",13,6,19,7.53194,37.68,https://cgspace.cgiar.org/handle/10568/59800,87,53,  MIT,  MIT
"Molla, G., Regassa, T., Lema, Z., Leta, G., Duncan, A.J. and Mekuriaw, Y. 2015. Assessment of livestock production systems, the potential of feed availability, farming system and livestock production problems in Fogera District, Amhara Region, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/65087,"Fogera District, Amhara Region - Tach Abua", ,,15,11.978333,37.708611,in report,88,54,  MRA,  MRA
"Molla, G., Regassa, T., Lema, Z., Leta, G., Duncan, A.J. and Mekuriaw, Y. 2015. Assessment of livestock production systems, the potential of feed availability, farming system and livestock production problems in Fogera District, Amhara Region, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/65087,"Fogera District, Amhara Region - Chabi",,,15,11.924444,37.880278,in report,89,54,  MIT,  MIT
"Molla, G., Regassa, T., Lema, Z., Leta, G., Duncan, A.J. and Mekuriaw, Y. 2015. Assessment of livestock production systems, the potential of feed availability, farming system and livestock production problems in Fogera District, Amhara Region, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/65087,"Fogera District, Amhara Region - Timinda",,,15,11.919722,37.805,in report,90,54,  MIT,  MIT
"Wondatir, Z., Adie, A. and Duncan, A.J. 2015. Assessment of livestock production and feed resources at Robit Bata, Bahir Dar, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/56988,"Robit Bata, Bahir Dar - Jimma Midir sub-village", ,,15,11.6719,37.459,From Aberra,91,55,     ,MRT
"Wondatir, Z., Adie, A. and Duncan, A.J. 2015. Assessment of livestock production and feed resources at Robit Bata, Bahir Dar, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/56988,"Robit Bata, Bahir Dar - Terara Gichamintola sub-village", ,,15,11.7025,37.4537,From Aberra,92,55,     ,MRT
"Wondatir, Z., Adie, A. and Duncan, A.J. 2015. Assessment of livestock production and feed resources at Robit Bata, Bahir Dar, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/56988,"Robit Bata, Bahir Dar - Deri Gedel sub-village", ,,15,11.68333,37.45,From Aberra,93,55,     ,MRT
"Duguma, G., Jembere, T., Degefa, K., Temesgen, W., Kumsa, A., Wamatu, J. and Duncan, A.J. 2012. Characterization of the farming and livestock production systems and the potential for enhancing livestock productivity through improved feeding in Horro district, Ethiopia. Nairobi, Kenya: International Livestock Research Institute.",Ethiopia,https://cgspace.cgiar.org/handle/10568/25077,"Horro district, Ethiopia - Oda Buluq", ,,15,9.63333,37.06667,in report,94,56,  MRT,  MRT
"Duguma, G., Jembere, T., Degefa, K., Temesgen, W., Kumsa, A., Wamatu, J. and Duncan, A.J. 2012. Characterization of the farming and livestock production systems and the potential for enhancing livestock productivity through improved feeding in Horro district, Ethiopia. Nairobi, Kenya: International Livestock Research Institute.",Ethiopia,https://cgspace.cgiar.org/handle/10568/25077,"Horro district, Ethiopia - Gitlo", ,,15,9.55,37.05,in report,95,56,  MRT,  MRT
"Duguma, G., Jembere, T., Degefa, K., Temesgen, W., Kumsa, A., Wamatu, J. and Duncan, A.J. 2012. Characterization of the farming and livestock production systems and the potential for enhancing livestock productivity through improved feeding in Horro district, Ethiopia. Nairobi, Kenya: International Livestock Research Institute.",Ethiopia,https://cgspace.cgiar.org/handle/10568/25077,"Horro district, Ethiopia - Lakku", ,,15,9.56667,37.05,in report,96,56,  MRT,  MRT
"Yami, M., Haimanot, T., Lemma, E., Begna, B., Etana, T., Wamatu, J. and Duncan, A.J. 2012. Characterization of the farming and livestock production systems and the potential for enhancing livestock productivity through improved feeding in Lemu-Bilbilo district, Arsi highlands, Ethiopia. Nairobi, Kenya: International Livestock Research Institute.",Ethiopia,https://cgspace.cgiar.org/handle/10568/25076,"Lemu-Bilbilo district, Arsi highlands", ,,25,7.533333,39.25,eyeballed from map in report,97,57,  MRT,  MRT
