Citation,Country,URL,Site,Number of men,Number of women,Total farmers,GPS_N,GPS_E,GPS find method2,Row,Number,System,Adjusted system
"Muyekho F.N., Lukuyu, B. and Duncan, A.J. 2014. Characterization of the livestock production systems and potential to enhance dairy productivity through improved feeding in sub-humid western Kenya. Nairobi: ILRI.",Kenya,https://cgspace.cgiar.org/handle/10568/64946,Sabatia sub-county - Western Kenya - Wodanga,20,15,35,0.106,34.7934,Eyeballed from google maps search on Wodanga,120,71,  MRT,  MRT
"Muyekho F.N., Lukuyu, B. and Duncan, A.J. 2014. Characterization of the livestock production systems and potential to enhance dairy productivity through improved feeding in sub-humid western Kenya. Nairobi: ILRI.",Kenya,https://cgspace.cgiar.org/handle/10568/64946,Marani sub-county - Western Kenya - Mwagichana ward,14,6,20,-0.578,34.7978,Eyeballed from google maps search on Marani,121,71,  MRT,  MRT
"Muyekho F.N., Lukuyu, B. and Duncan, A.J. 2014. Characterization of the livestock production systems and potential to enhance dairy productivity through improved feeding in sub-humid western Kenya. Nairobi: ILRI.",Kenya,https://cgspace.cgiar.org/handle/10568/64946,Matayos sub-county - Western Kenya - Nasewa,16,9,25,0.3918,34.2323,Eyeballed from google maps search on Nasewa,122,71,  MRH,  MRH
"Muyekho F.N., Lukuyu, B. and Duncan, A.J. 2014. Characterization of the livestock production systems and potential to enhance dairy productivity through improved feeding in sub-humid western Kenya. Nairobi: ILRI.",Kenya,https://cgspace.cgiar.org/handle/10568/64946,Kisumu West sub-county  - Western Kenya - North West Kisumu ward ,9,15,24,-0.0183,34.5945,Eyeballed from google maps search on Sunga,123,71,  MRH,  MRH
"Muyekho F.N., Lukuyu, B. and Duncan, A.J. 2014. Characterization of the livestock production systems and potential to enhance dairy productivity through improved feeding in sub-humid western Kenya. Nairobi: ILRI.",Kenya,https://cgspace.cgiar.org/handle/10568/64946,Matayos sub-county - Western Kenya - Burumba ,9,9,18,0.4615,34.1227,Eyeballed from google maps search on Burumba,124,71,  MRH,  MRH
"Muyekho F.N., Lukuyu, B. and Duncan, A.J. 2014. Characterization of the livestock production systems and potential to enhance dairy productivity through improved feeding in sub-humid western Kenya. Nairobi: ILRI.",Kenya,https://cgspace.cgiar.org/handle/10568/64946,Marani sub-county - Western Kenya -  Sensi ward,13,7,20,-0.5977,34.8255,Eyeballed from google maps search on Sensi,125,71,  MRT,  MRT
"Maass, B.L., Lukuyu, B., Fakih, A.O., Suleiman, H., Khatib, S., Wassena, F.J. and Bacigale, S. 2013. Assessing the dairy value chain and potential to enhance productivity through improved feeding in Pemba Island of Zanzibar, the United Republic of Tanzania. Nairobi, Kenya: CIAT.",Tanzania,https://cgspace.cgiar.org/handle/10568/51748,Pemba Island of Zanzibar - Mkoani,16,5,21,-5.3594,39.6508,Eyeballed from google maps search on Mkoani,126,72,     ,MRH
"Maass, B.L., Lukuyu, B., Fakih, A.O., Suleiman, H., Khatib, S., Wassena, F.J. and Bacigale, S. 2013. Assessing the dairy value chain and potential to enhance productivity through improved feeding in Pemba Island of Zanzibar, the United Republic of Tanzania. Nairobi, Kenya: CIAT.",Tanzania,https://cgspace.cgiar.org/handle/10568/51748,Pemba Island of Zanzibar - Wete,13,3,16,-5.0573,39.7315,Eyeballed from google maps search on Wete,127,72,  OTH,MRH
"Maass, B.L., Lukuyu, B., Fakih, A.O., Suleiman, H., Khatib, S., Wassena, F.J. and Bacigale, S. 2013. Assessing the dairy value chain and potential to enhance productivity through improved feeding in Pemba Island of Zanzibar, the United Republic of Tanzania. Nairobi, Kenya: CIAT.",Tanzania,https://cgspace.cgiar.org/handle/10568/51748,Pemba Island of Zanzibar - Chake Chake,16,5,21,-5.2501,39.7788,Eyeballed from google maps search on Chake Chake,128,72,     ,MRH
"Konlan, S.P., Ayantunde, A.A., Dei, H.K. and Avornyo, F.K. 2014. Evaluation of existing and potential feed resources for ruminant production in northern Ghana. Nairobi, Kenya: International Livestock Research Institute.",Ghana,https://cgspace.cgiar.org/handle/10568/42338,Ghana - Upper East - Kasena Nankana/ Gia,12,6,18,10.9,-1.19,eyeballed roughly from Google Maps,129,73,  MRA,  MRA
"Konlan, S.P., Ayantunde, A.A., Dei, H.K. and Avornyo, F.K. 2014. Evaluation of existing and potential feed resources for ruminant production in northern Ghana. Nairobi, Kenya: International Livestock Research Institute.",Ghana,https://cgspace.cgiar.org/handle/10568/42338,Ghana - Northern - Savelugu/Tibali,12,6,18,9.61,-0.82,eyeballed roughly from Google Maps,130,73,  MRH,  MRH
"Konlan, S.P., Ayantunde, A.A., Dei, H.K. and Avornyo, F.K. 2014. Evaluation of existing and potential feed resources for ruminant production in northern Ghana. Nairobi, Kenya: International Livestock Research Institute.",Ghana,https://cgspace.cgiar.org/handle/10568/42338,Ghana - Northern - Tolon/ Tingoli,12,6,18,9.34,-1.04,eyeballed roughly from Google Maps,131,73,  MRH,  MRH
"Konlan, S.P., Ayantunde, A.A., Dei, H.K. and Avornyo, F.K. 2014. Evaluation of existing and potential feed resources for ruminant production in northern Ghana. Nairobi, Kenya: International Livestock Research Institute.",Ghana,https://cgspace.cgiar.org/handle/10568/42338,Ghana - Upper West - Nadowli/Papu,12,6,18,10.37,-2.67,eyeballed roughly from Google Maps,132,73,  LGA,  LGA
"Konlan, S.P., Ayantunde, A.A., Dei, H.K. and Avornyo, F.K. 2014. Evaluation of existing and potential feed resources for ruminant production in northern Ghana. Nairobi, Kenya: International Livestock Research Institute.",Ghana,https://cgspace.cgiar.org/handle/10568/42338,Ghana - Upper West - Wa West/ Guo,12,6,18,9.95,-2.64,eyeballed roughly from Google Maps,133,73,  MRA,  MRA
"Konlan, S.P., Ayantunde, A.A., Dei, H.K. and Avornyo, F.K. 2014. Evaluation of existing and potential feed resources for ruminant production in northern Ghana. Nairobi, Kenya: International Livestock Research Institute.",Ghana,https://cgspace.cgiar.org/handle/10568/42338,Ghana - Upper East - Kasena Nankana /Bonia ,12,6,18,10.9,-1.13,eyeballed roughly from Google Maps,134,73,  MRA,  MRA
"Umutoni, C. and Ayantunde, A.A. 2014. Evaluation of feed resources in mixed crop-livestock systems in the Sudano-Sahelian zone of Mali. Nairobi, Kenya: International Livestock Research Institute.",Mali,https://cgspace.cgiar.org/handle/10568/42337,Sudano-Sahelian zone of Mali - Bougouni - Sibilira,10,5,15,11.44,-7.76,in report,135,74,  LGA,  LGA
"Umutoni, C. and Ayantunde, A.A. 2014. Evaluation of feed resources in mixed crop-livestock systems in the Sudano-Sahelian zone of Mali. Nairobi, Kenya: International Livestock Research Institute.",Mali,https://cgspace.cgiar.org/handle/10568/42337,Sudano-Sahelian zone of Mali - Koutiali - Zanzoni,10,5,15,12.61,-5.57,in report,136,74,  MRA,  MRA
"Umutoni, C. and Ayantunde, A.A. 2014. Evaluation of feed resources in mixed crop-livestock systems in the Sudano-Sahelian zone of Mali. Nairobi, Kenya: International Livestock Research Institute.",Mali,https://cgspace.cgiar.org/handle/10568/42337,Sudano-Sahelian zone of Mali - Koutiali - Sirakele,10,5,15,12.51,-5.48,in report,137,74,  MRA,  MRA
"Umutoni, C. and Ayantunde, A.A. 2014. Evaluation of feed resources in mixed crop-livestock systems in the Sudano-Sahelian zone of Mali. Nairobi, Kenya: International Livestock Research Institute.",Mali,https://cgspace.cgiar.org/handle/10568/42337,Sudano-Sahelian zone of Mali - Bougouni - Dieba,10,5,15,10.91,-8,in report,138,74,  LGA,  LGA
"Umutoni, C. and Ayantunde, A.A. 2014. Evaluation of feed resources in mixed crop-livestock systems in the Sudano-Sahelian zone of Mali. Nairobi, Kenya: International Livestock Research Institute.",Mali,https://cgspace.cgiar.org/handle/10568/42337,Sudano-Sahelian zone of Mali - Bougouni - Yorobougoula,10,5,15,11.52,-7.91,in report,139,74,  MRA,  MRA
"Umutoni, C. and Ayantunde, A.A. 2014. Evaluation of feed resources in mixed crop-livestock systems in the Sudano-Sahelian zone of Mali. Nairobi, Kenya: International Livestock Research Institute.",Mali,https://cgspace.cgiar.org/handle/10568/42337,Sudano-Sahelian zone of Mali - Koutiali - Nampossela,10,5,15,12.33,-5.34,in report,140,74,  MRA,  MRA
"Ayantunde, A., Boubacar, H.A., Adamou, K., Adamou, K., Moumini, O. and Umutoni, C. 2019. Evaluation of feed resources in the mixed crop-livestock systems of the Sahelian zone in Burkina Faso and Niger. Nairobi, Kenya: ILRI.",Burkina Faso,https://cgspace.cgiar.org/handle/10568/105638,Sahelian zone - Dori,14,6,20,14.03462,-0.0314,in report,141,75,  URB,LGA
"Ayantunde, A., Boubacar, H.A., Adamou, K., Adamou, K., Moumini, O. and Umutoni, C. 2019. Evaluation of feed resources in the mixed crop-livestock systems of the Sahelian zone in Burkina Faso and Niger. Nairobi, Kenya: ILRI.",Burkina Faso,https://cgspace.cgiar.org/handle/10568/105638,Sahelian zone - Kaya,14,6,20,13.09174,-1.08737,in report,142,75,  MRA,  MRA
"Ayantunde, A., Boubacar, H.A., Adamou, K., Adamou, K., Moumini, O. and Umutoni, C. 2019. Evaluation of feed resources in the mixed crop-livestock systems of the Sahelian zone in Burkina Faso and Niger. Nairobi, Kenya: ILRI.",Niger,https://cgspace.cgiar.org/handle/10568/105638,Sahelian zone - Torodi,14,6,20,13.12,1.8,eyeballed roughly from Google Maps,143,75,  LGA,  LGA
"Ayantunde, A., Boubacar, H.A., Adamou, K., Adamou, K., Moumini, O. and Umutoni, C. 2019. Evaluation of feed resources in the mixed crop-livestock systems of the Sahelian zone in Burkina Faso and Niger. Nairobi, Kenya: ILRI.",Niger,https://cgspace.cgiar.org/handle/10568/105638,Sahelian zone - Maradi,14,6,20,13.5,7.1,eyeballed roughly from Google Maps,144,75,  MRA,  MRA
